"lethal.temp","population","treatment"
26.207,"Ontario","4.5°C"
24.557,"Superior","4.5°C"
26.329,"Ontario","4.5°C"
25.04,"Ontario","2.0°C"
24.412,"Ontario","4.5°C"
20.15,"Ontario","2.0°C"
26.818,"Ontario","4.5°C"
25.841,"Ontario","4.5°C"
20.436,"Ontario","4.5°C"
27.899,"Ontario","4.5°C"
25.137,"Ontario","7.0°C"
23.737,"Ontario","4.5°C"
26.256,"Ontario","2.0°C"
26.451,"Ontario","4.5°C"
21.27,"Ontario","4.5°C"
24.219,"Superior","2.0°C"
23.737,"Ontario","2.0°C"
23.04,"Ontario","7.0°C"
25.841,"Superior","7.0°C"
22.298,"Ontario","7.0°C"
26.207,"Ontario","4.5°C"
24.074,"Ontario","4.5°C"
23.208,"Ontario","2.0°C"
23.424,"Ontario","2.0°C"
21.39,"Ontario","7.0°C"
24.605,"Ontario","7.0°C"
25.914,"Ontario","4.5°C"
22.082,"Ontario","7.0°C"
23.088,"Ontario","4.5°C"
26.353,"Ontario","4.5°C"
26.451,"Ontario","2.0°C"
26.622,"Ontario","4.5°C"
24.774,"Ontario","4.5°C"
24.774,"Ontario","7.0°C"
24.75,"Ontario","7.0°C"
26.622,"Superior","4.5°C"
26.598,"Superior","2.0°C"
24.508,"Ontario","2.0°C"
26.622,"Ontario","2.0°C"
26.671,"Ontario","7.0°C"
27.358,"Ontario","2.0°C"
25.137,"Ontario","4.5°C"
27.235,"Ontario","2.0°C"
26.842,"Ontario","7.0°C"
24.847,"Ontario","4.5°C"
27.358,"Superior","2.0°C"
24.823,"Ontario","4.5°C"
23.136,"Ontario","2.0°C"
23.689,"Ontario","4.5°C"
23.545,"Ontario","2.0°C"
24.605,"Ontario","7.0°C"
24.677,"Superior","4.5°C"
24.774,"Ontario","4.5°C"
22.824,"Ontario","2.0°C"
23.689,"Ontario","2.0°C"
28.072,"Ontario","4.5°C"
24.629,"Ontario","2.0°C"
23.328,"Superior","4.5°C"
23.593,"Ontario","7.0°C"
27.259,"Ontario","4.5°C"
23.184,"Ontario","7.0°C"
24.823,"Superior","2.0°C"
26.5,"Ontario","7.0°C"
27.358,"Ontario","4.5°C"
24.074,"Ontario","4.5°C"
25.695,"Ontario","2.0°C"
23.737,"Ontario","2.0°C"
23.665,"Ontario","2.0°C"
25.137,"Ontario","2.0°C"
22.465,"Ontario","2.0°C"
24.508,"Ontario","4.5°C"
23.689,"Ontario","2.0°C"
26.353,"Superior","2.0°C"
25.137,"Ontario","2.0°C"
24.557,"Ontario","4.5°C"
25.501,"Superior","4.5°C"
24.557,"Superior","4.5°C"
26.818,"Ontario","7.0°C"
26.353,"Ontario","2.0°C"
20.579,"Superior","7.0°C"
24.798,"Ontario","4.5°C"
23.424,"Ontario","4.5°C"
26.769,"Ontario","4.5°C"
26.402,"Ontario","2.0°C"
27.776,"Ontario","2.0°C"
22.872,"Ontario","4.5°C"
19.389,"Superior","7.0°C"
24.291,"Superior","4.5°C"
24.871,"Superior","2.0°C"
