"lethal.temp","population","treatment"
26.231,"Ontario","2.0°C"
26.134,"Ontario","2.0°C"
22.058,"Ontario","4.5°C"
26.353,"Superior","2.0°C"
22.465,"Superior","2.0°C"
26.256,"Ontario","2.0°C"
24.412,"Ontario","7.0°C"
26.916,"Ontario","7.0°C"
24.484,"Ontario","4.5°C"
27.579,"Ontario","4.5°C"
25.283,"Ontario","7.0°C"
26.231,"Superior","2.0°C"
24.653,"Ontario","2.0°C"
25.695,"Ontario","4.5°C"
26.5,"Ontario","4.5°C"
27.358,"Ontario","2.0°C"
26.329,"Superior","7.0°C"
20.293,"Superior","7.0°C"
24.798,"Ontario","2.0°C"
26.402,"Ontario","2.0°C"
21.342,"Ontario","7.0°C"
24.412,"Ontario","4.5°C"
23.593,"Superior","4.5°C"
19.817,"Ontario","2.0°C"
21.987,"Ontario","2.0°C"
26.012,"Ontario","2.0°C"
25.744,"Ontario","4.5°C"
24.436,"Superior","2.0°C"
25.428,"Ontario","4.5°C"
24.291,"Ontario","4.5°C"
22.25,"Ontario","2.0°C"
26.28,"Superior","2.0°C"
24.436,"Ontario","4.5°C"
25.866,"Ontario","4.5°C"
24.508,"Ontario","2.0°C"
19.103,"Ontario","4.5°C"
25.987,"Ontario","7.0°C"
26.353,"Ontario","2.0°C"
24.436,"Ontario","7.0°C"
20.412,"Superior","4.5°C"
27.382,"Ontario","2.0°C"
26.475,"Ontario","7.0°C"
21.175,"Ontario","4.5°C"
23.593,"Ontario","2.0°C"
25.04,"Ontario","7.0°C"
23.689,"Ontario","4.5°C"
19.603,"Ontario","2.0°C"
24.146,"Ontario","2.0°C"
24.581,"Ontario","2.0°C"
26.646,"Ontario","7.0°C"
26.818,"Ontario","4.5°C"
24.195,"Ontario","4.5°C"
26.842,"Ontario","4.5°C"
24.508,"Ontario","4.5°C"
24.243,"Ontario","7.0°C"
26.622,"Ontario","2.0°C"
24.484,"Ontario","2.0°C"
25.04,"Ontario","7.0°C"
26.329,"Ontario","7.0°C"
27.382,"Superior","2.0°C"
24.605,"Ontario","2.0°C"
26.231,"Ontario","4.5°C"
23.545,"Superior","4.5°C"
24.702,"Ontario","4.5°C"
26.769,"Ontario","4.5°C"
26.916,"Ontario","4.5°C"
23.184,"Ontario","4.5°C"
27.554,"Ontario","2.0°C"
26.256,"Ontario","2.0°C"
23.136,"Superior","4.5°C"
26.769,"Superior","2.0°C"
23.545,"Ontario","2.0°C"
23.136,"Ontario","4.5°C"
24.243,"Ontario","2.0°C"
26.036,"Ontario","4.5°C"
23.424,"Superior","7.0°C"
26.231,"Ontario","7.0°C"
23.545,"Ontario","7.0°C"
27.186,"Ontario","4.5°C"
26.451,"Ontario","7.0°C"
24.243,"Ontario","4.5°C"
28.097,"Ontario","7.0°C"
24.508,"Ontario","4.5°C"
25.866,"Ontario","2.0°C"
26.353,"Superior","2.0°C"
23.689,"Ontario","2.0°C"
19.674,"Superior","2.0°C"
25.866,"Ontario","7.0°C"
28.072,"Ontario","7.0°C"
27.604,"Ontario","4.5°C"
25.866,"Superior","4.5°C"
24.605,"Ontario","4.5°C"
24.243,"Ontario","4.5°C"
22.058,"Ontario","2.0°C"
27.358,"Ontario","2.0°C"
24.412,"Ontario","2.0°C"
24.629,"Ontario","2.0°C"
25.841,"Ontario","4.5°C"
23.328,"Ontario","2.0°C"
24.75,"Ontario","7.0°C"
25.04,"Ontario","7.0°C"
22.13,"Ontario","7.0°C"
24.581,"Ontario","7.0°C"
26.207,"Superior","7.0°C"
25.841,"Ontario","4.5°C"
24.605,"Superior","4.5°C"
26.378,"Superior","7.0°C"
24.823,"Superior","2.0°C"
27.554,"Ontario","2.0°C"
25.914,"Ontario","7.0°C"
25.866,"Ontario","2.0°C"
24.581,"Ontario","4.5°C"
26.329,"Ontario","2.0°C"
24.702,"Ontario","2.0°C"
26.353,"Ontario","7.0°C"
23.713,"Ontario","4.5°C"
23.136,"Ontario","7.0°C"
24.412,"Superior","4.5°C"
23.208,"Ontario","4.5°C"
26.598,"Ontario","4.5°C"
26.769,"Ontario","4.5°C"
22.8,"Ontario","4.5°C"
26.402,"Superior","7.0°C"
22.8,"Ontario","7.0°C"
26.353,"Ontario","4.5°C"
23.737,"Ontario","2.0°C"
24.605,"Ontario","7.0°C"
23.184,"Superior","4.5°C"
26.744,"Ontario","2.0°C"
26.402,"Superior","4.5°C"
26.28,"Ontario","2.0°C"
23.136,"Ontario","4.5°C"
26.353,"Ontario","4.5°C"
28.097,"Ontario","7.0°C"
25.404,"Superior","4.5°C"
27.235,"Ontario","4.5°C"
25.137,"Superior","7.0°C"
24.412,"Ontario","7.0°C"
23.545,"Ontario","2.0°C"
25.866,"Ontario","4.5°C"
25.841,"Ontario","2.0°C"
25.866,"Ontario","7.0°C"
20.15,"Ontario","4.5°C"
25.574,"Ontario","2.0°C"
23.689,"Superior","2.0°C"
27.186,"Ontario","2.0°C"
25.963,"Ontario","4.5°C"
24.146,"Ontario","7.0°C"
24.243,"Ontario","2.0°C"
24.605,"Superior","7.0°C"
27.235,"Superior","4.5°C"
28.097,"Ontario","7.0°C"
24.605,"Ontario","4.5°C"
27.899,"Ontario","2.0°C"
26.402,"Ontario","2.0°C"
24.823,"Ontario","4.5°C"
24.436,"Ontario","7.0°C"
24.291,"Superior","2.0°C"
26.353,"Superior","7.0°C"
24.75,"Ontario","4.5°C"
21.151,"Ontario","2.0°C"
26.28,"Ontario","4.5°C"
25.841,"Ontario","4.5°C"
27.85,"Ontario","4.5°C"
22.298,"Superior","7.0°C"
23.424,"Ontario","7.0°C"
26.451,"Superior","7.0°C"
27.579,"Superior","7.0°C"
21.27,"Superior","4.5°C"
26.231,"Ontario","2.0°C"
26.329,"Ontario","4.5°C"
25.065,"Ontario","2.0°C"
24.774,"Superior","7.0°C"
24.291,"Ontario","2.0°C"
25.404,"Ontario","4.5°C"
26.744,"Ontario","2.0°C"
28.072,"Ontario","4.5°C"
25.963,"Ontario","2.0°C"
27.358,"Superior","4.5°C"
27.235,"Ontario","2.0°C"
23.136,"Ontario","2.0°C"
24.146,"Ontario","4.5°C"
26.256,"Ontario","7.0°C"
21.485,"Ontario","2.0°C"
25.866,"Superior","4.5°C"
24.677,"Ontario","4.5°C"
23.424,"Ontario","7.0°C"
26.329,"Ontario","2.0°C"
24.508,"Ontario","2.0°C"
26.744,"Superior","2.0°C"
24.291,"Ontario","2.0°C"
24.605,"Ontario","2.0°C"
24.702,"Ontario","7.0°C"
26.329,"Ontario","2.0°C"
27.776,"Ontario","4.5°C"
26.207,"Superior","2.0°C"
24.823,"Ontario","4.5°C"
24.774,"Ontario","2.0°C"
25.695,"Ontario","2.0°C"
25.647,"Ontario","7.0°C"
26.231,"Ontario","4.5°C"
23.208,"Ontario","7.0°C"
25.137,"Ontario","4.5°C"
26.793,"Ontario","2.0°C"
24.702,"Ontario","4.5°C"
26.94,"Ontario","7.0°C"
24.508,"Ontario","2.0°C"
24.605,"Superior","4.5°C"
26.818,"Superior","4.5°C"
26.793,"Ontario","2.0°C"
26.769,"Ontario","2.0°C"
26.28,"Ontario","7.0°C"
23.737,"Ontario","4.5°C"
27.259,"Superior","7.0°C"
24.702,"Ontario","4.5°C"
24.702,"Superior","4.5°C"
24.798,"Superior","4.5°C"
24.436,"Ontario","7.0°C"
24.291,"Ontario","7.0°C"
26.451,"Ontario","4.5°C"
25.695,"Ontario","2.0°C"
24.508,"Ontario","7.0°C"
25.963,"Superior","7.0°C"
21.27,"Ontario","4.5°C"
25.866,"Ontario","2.0°C"
24.267,"Ontario","2.0°C"
24.412,"Ontario","2.0°C"
24.291,"Superior","4.5°C"
23.328,"Ontario","4.5°C"
24.605,"Ontario","2.0°C"
25.866,"Ontario","4.5°C"
23.713,"Ontario","7.0°C"
26.036,"Ontario","7.0°C"
25.866,"Ontario","2.0°C"
26.72,"Ontario","2.0°C"
24.774,"Ontario","2.0°C"
26.842,"Ontario","2.0°C"
24.291,"Ontario","7.0°C"
23.833,"Ontario","4.5°C"
24.702,"Ontario","2.0°C"
25.137,"Ontario","4.5°C"
24.557,"Ontario","2.0°C"
19.674,"Ontario","2.0°C"
26.769,"Ontario","7.0°C"
26.256,"Superior","7.0°C"
23.545,"Ontario","2.0°C"
