"lethal.temp","population","treatment"
26.842,"Ontario","4.5°C"
25.137,"Ontario","4.5°C"
26.94,"Ontario","2.0°C"
24.557,"Ontario","7.0°C"
26.842,"Ontario","7.0°C"
24.484,"Superior","4.5°C"
24.267,"Ontario","2.0°C"
25.428,"Ontario","2.0°C"
24.677,"Superior","2.0°C"
24.219,"Ontario","4.5°C"
26.304,"Superior","2.0°C"
23.208,"Ontario","2.0°C"
22.106,"Ontario","7.0°C"
25.841,"Ontario","4.5°C"
23.424,"Superior","2.0°C"
24.098,"Ontario","2.0°C"
25.841,"Ontario","7.0°C"
27.382,"Ontario","2.0°C"
26.549,"Ontario","2.0°C"
21.533,"Ontario","2.0°C"
25.841,"Ontario","4.5°C"
24.267,"Ontario","7.0°C"
26.231,"Ontario","7.0°C"
19.103,"Superior","4.5°C"
24.581,"Ontario","4.5°C"
27.358,"Ontario","2.0°C"
23.136,"Ontario","2.0°C"
21.437,"Ontario","2.0°C"
22.393,"Ontario","4.5°C"
24.267,"Ontario","7.0°C"
25.137,"Ontario","4.5°C"
23.689,"Ontario","4.5°C"
27.259,"Ontario","4.5°C"
25.72,"Ontario","2.0°C"
27.186,"Ontario","7.0°C"
26.353,"Ontario","4.5°C"
21.39,"Superior","4.5°C"
23.136,"Superior","7.0°C"
23.954,"Ontario","4.5°C"
26.353,"Ontario","4.5°C"
26.842,"Ontario","7.0°C"
25.695,"Ontario","4.5°C"
25.671,"Ontario","7.0°C"
24.653,"Ontario","7.0°C"
26.231,"Superior","7.0°C"
23.593,"Ontario","2.0°C"
26.134,"Ontario","4.5°C"
21.867,"Ontario","2.0°C"
27.186,"Ontario","2.0°C"
20.293,"Ontario","7.0°C"
24.508,"Superior","2.0°C"
25.841,"Ontario","2.0°C"
26.451,"Ontario","4.5°C"
24.798,"Superior","7.0°C"
23.761,"Ontario","2.0°C"
26.353,"Ontario","4.5°C"
24.074,"Ontario","2.0°C"
24.823,"Ontario","4.5°C"
26.94,"Ontario","7.0°C"
19.103,"Ontario","7.0°C"
25.866,"Ontario","7.0°C"
26.769,"Superior","4.5°C"
19.103,"Ontario","4.5°C"
26.012,"Ontario","4.5°C"
24.219,"Ontario","4.5°C"
24.557,"Ontario","7.0°C"
23.136,"Ontario","2.0°C"
22.872,"Ontario","2.0°C"
25.914,"Ontario","4.5°C"
24.436,"Ontario","4.5°C"
26.378,"Superior","4.5°C"
26.573,"Ontario","2.0°C"
25.914,"Ontario","4.5°C"
23.737,"Ontario","2.0°C"
25.598,"Ontario","4.5°C"
25.283,"Superior","2.0°C"
25.283,"Ontario","7.0°C"
20.15,"Ontario","7.0°C"
24.798,"Ontario","4.5°C"
27.186,"Ontario","2.0°C"
27.014,"Superior","4.5°C"
24.677,"Ontario","4.5°C"
22.872,"Superior","4.5°C"
25.72,"Ontario","2.0°C"
25.065,"Ontario","7.0°C"
25.355,"Ontario","4.5°C"
24.605,"Ontario","7.0°C"
23.352,"Ontario","2.0°C"
24.702,"Ontario","2.0°C"
24.75,"Ontario","2.0°C"
24.605,"Ontario","4.5°C"
26.94,"Ontario","4.5°C"
26.256,"Superior","2.0°C"
24.605,"Ontario","7.0°C"
25.987,"Ontario","4.5°C"
24.508,"Ontario","4.5°C"
24.508,"Ontario","4.5°C"
26.256,"Ontario","4.5°C"
24.436,"Ontario","2.0°C"
27.382,"Ontario","4.5°C"
23.04,"Superior","7.0°C"
25.841,"Ontario","7.0°C"
24.75,"Ontario","2.0°C"
26.451,"Ontario","4.5°C"
26.402,"Ontario","7.0°C"
27.554,"Ontario","2.0°C"
25.137,"Ontario","2.0°C"
23.689,"Ontario","4.5°C"
26.695,"Ontario","4.5°C"
21.342,"Superior","2.0°C"
25.987,"Ontario","4.5°C"
23.593,"Ontario","2.0°C"
24.146,"Ontario","7.0°C"
26.353,"Ontario","2.0°C"
25.453,"Superior","7.0°C"
23.665,"Ontario","4.5°C"
23.689,"Ontario","7.0°C"
26.671,"Ontario","2.0°C"
24.243,"Ontario","2.0°C"
25.744,"Superior","2.0°C"
27.382,"Ontario","2.0°C"
24.219,"Ontario","4.5°C"
26.012,"Ontario","4.5°C"
25.744,"Ontario","2.0°C"
26.207,"Ontario","7.0°C"
26.378,"Ontario","2.0°C"
24.702,"Superior","2.0°C"
23.593,"Ontario","7.0°C"
28.097,"Ontario","4.5°C"
24.798,"Superior","2.0°C"
26.622,"Ontario","7.0°C"
23.737,"Ontario","2.0°C"
25.963,"Superior","2.0°C"
25.113,"Ontario","4.5°C"
25.501,"Ontario","2.0°C"
24.557,"Ontario","2.0°C"
25.744,"Ontario","4.5°C"
25.647,"Ontario","4.5°C"
24.098,"Ontario","2.0°C"
24.508,"Ontario","2.0°C"
26.231,"Ontario","2.0°C"
24.774,"Ontario","2.0°C"
23.016,"Superior","4.5°C"
24.702,"Ontario","4.5°C"
26.622,"Ontario","4.5°C"
23.737,"Ontario","7.0°C"
26.598,"Superior","7.0°C"
24.798,"Ontario","2.0°C"
27.235,"Ontario","4.5°C"
23.328,"Ontario","7.0°C"
26.769,"Ontario","7.0°C"
23.28,"Ontario","4.5°C"
24.823,"Ontario","4.5°C"
22.8,"Superior","4.5°C"
24.508,"Ontario","4.5°C"
24.823,"Superior","7.0°C"
24.702,"Ontario","2.0°C"
26.012,"Ontario","7.0°C"
24.774,"Ontario","2.0°C"
22.8,"Ontario","4.5°C"
24.774,"Ontario","7.0°C"
26.256,"Ontario","7.0°C"
24.219,"Ontario","2.0°C"
26.304,"Superior","4.5°C"
24.75,"Superior","2.0°C"
27.259,"Ontario","2.0°C"
23.954,"Ontario","7.0°C"
26.598,"Ontario","2.0°C"
24.508,"Ontario","2.0°C"
23.689,"Ontario","2.0°C"
23.208,"Ontario","7.0°C"
20.15,"Superior","2.0°C"
26.5,"Ontario","2.0°C"
27.776,"Superior","4.5°C"
24.798,"Ontario","2.0°C"
25.137,"Ontario","7.0°C"
26.304,"Ontario","4.5°C"
26.28,"Ontario","2.0°C"
25.866,"Ontario","2.0°C"
26.256,"Ontario","2.0°C"
24.823,"Ontario","4.5°C"
22.824,"Superior","2.0°C"
24.267,"Superior","4.5°C"
25.113,"Ontario","7.0°C"
24.508,"Ontario","7.0°C"
26.769,"Ontario","7.0°C"
27.382,"Ontario","4.5°C"
23.761,"Ontario","4.5°C"
25.137,"Ontario","7.0°C"
25.987,"Ontario","4.5°C"
23.761,"Ontario","7.0°C"
26.72,"Ontario","4.5°C"
24.557,"Ontario","4.5°C"
20.198,"Ontario","2.0°C"
25.963,"Ontario","4.5°C"
24.75,"Ontario","7.0°C"
27.382,"Ontario","4.5°C"
