"lethal.temp","population","treatment"
21.891,"Ontario","7.0°C"
21.27,"Ontario","7.0°C"
25.963,"Ontario","7.0°C"
25.866,"Superior","4.5°C"
26.451,"Ontario","7.0°C"
26.353,"Ontario","7.0°C"
22.106,"Superior","2.0°C"
22.8,"Superior","4.5°C"
26.94,"Ontario","4.5°C"
22.8,"Ontario","2.0°C"
25.137,"Superior","7.0°C"
23.136,"Ontario","4.5°C"
26.916,"Ontario","2.0°C"
25.841,"Ontario","2.0°C"
26.329,"Ontario","4.5°C"
19.08,"Ontario","4.5°C"
25.963,"Ontario","4.5°C"
25.574,"Superior","2.0°C"
26.256,"Superior","4.5°C"
28.072,"Ontario","7.0°C"
24.508,"Ontario","4.5°C"
24.267,"Ontario","4.5°C"
24.605,"Ontario","4.5°C"
25.914,"Ontario","7.0°C"
26.353,"Ontario","2.0°C"
27.382,"Superior","7.0°C"
26.353,"Superior","2.0°C"
25.841,"Superior","2.0°C"
27.382,"Ontario","7.0°C"
21.39,"Ontario","2.0°C"
27.358,"Superior","2.0°C"
24.847,"Superior","2.0°C"
27.259,"Superior","4.5°C"
21.533,"Ontario","7.0°C"
25.501,"Superior","2.0°C"
27.579,"Ontario","4.5°C"
27.235,"Superior","4.5°C"
23.689,"Ontario","7.0°C"
26.231,"Ontario","2.0°C"
24.823,"Ontario","2.0°C"
22.011,"Ontario","7.0°C"
27.554,"Ontario","2.0°C"
25.695,"Ontario","2.0°C"
26.916,"Ontario","4.5°C"
24.195,"Ontario","7.0°C"
25.841,"Ontario","4.5°C"
23.593,"Ontario","7.0°C"
23.593,"Ontario","4.5°C"
24.412,"Superior","2.0°C"
27.186,"Ontario","2.0°C"
26.598,"Ontario","7.0°C"
21.533,"Ontario","4.5°C"
23.352,"Superior","2.0°C"
24.508,"Ontario","4.5°C"
26.353,"Ontario","4.5°C"
19.389,"Ontario","4.5°C"
24.774,"Ontario","2.0°C"
27.579,"Ontario","4.5°C"
26.94,"Ontario","4.5°C"
25.744,"Superior","4.5°C"
26.28,"Ontario","7.0°C"
24.605,"Ontario","4.5°C"
24.702,"Ontario","7.0°C"
22.058,"Superior","7.0°C"
26.329,"Ontario","2.0°C"
25.428,"Ontario","4.5°C"
24.557,"Ontario","4.5°C"
22.178,"Ontario","2.0°C"
25.137,"Ontario","7.0°C"
26.94,"Ontario","4.5°C"
25.914,"Superior","4.5°C"
25.671,"Ontario","4.5°C"
26.353,"Ontario","7.0°C"
28.097,"Ontario","4.5°C"
25.72,"Superior","4.5°C"
23.665,"Ontario","7.0°C"
24.243,"Ontario","7.0°C"
22.178,"Superior","7.0°C"
26.744,"Superior","7.0°C"
27.259,"Ontario","4.5°C"
24.823,"Ontario","4.5°C"
24.484,"Ontario","4.5°C"
23.208,"Ontario","4.5°C"
23.689,"Ontario","7.0°C"
26.622,"Ontario","2.0°C"
25.744,"Ontario","2.0°C"
23.208,"Superior","2.0°C"
24.412,"Ontario","7.0°C"
24.605,"Superior","7.0°C"
23.665,"Ontario","4.5°C"
22.082,"Superior","7.0°C"
24.871,"Ontario","2.0°C"
26.378,"Ontario","2.0°C"
27.382,"Superior","2.0°C"
24.484,"Superior","7.0°C"
24.508,"Ontario","4.5°C"
26.793,"Ontario","2.0°C"
26.231,"Ontario","7.0°C"
24.823,"Ontario","7.0°C"
26.622,"Ontario","2.0°C"
26.231,"Ontario","7.0°C"
26.842,"Ontario","2.0°C"
23.593,"Superior","4.5°C"
25.963,"Superior","2.0°C"
26.744,"Ontario","4.5°C"
24.798,"Ontario","7.0°C"
23.954,"Ontario","4.5°C"
